"1","Klemen","Brodej","1996-07-25","1"
"2","Timotej","Friškovec","1996-02-05","1"
"8","Kaja","Pirmanšek","0000-00-00","3"
"6","Tomaž","Videmšek","1996-08-24","1"
"7",,,"0000-00-00","666"
"1","5","2014-06-10","1","2","1"
"2","4","2014-06-10","2","2","1"
"3","4","2014-06-13","1","1","1"
"4","4","2014-06-13","1","1","1"
"5","4","2014-06-09","1","2","1"
"6","3","2014-06-10","1","2","1"
"7","4","2014-06-11","2","1","2"
"8","5","2014-06-19","1","3","10"
"1","8341","Adlešiči"
"2","5270","Ajdovščina"
"3","6280","Ankaran/Ancarano"
"4","9253","Apače"
"5","8253","Artiče"
"6","4275","Begunje na Gorenjske"
"7","1382","Begunje pri Cerknici"
"8","9231","Beltinci"
"9","2234","Benedikt"
"10","2345","Bistrica ob Dravi"
"11","3256","Bistrica ob Sotli"
"12","8259","Bizeljsko"
"13","1223","Blagovica"
"14","8283","Blanca"
"15","4260","Bled"
"16","4273","Blejska Dobrava"
"17","9265","Bodonci"
"18","9222","Bogojina"
"19","4263","Bohinjska Bela"
"20","4264","Bohinjska Bistrica"
"21","4265","Bohinjsko jezero"
"22","1353","Borovnica"
"23","8294","Boštanj"
"24","5230","Bovec"
"25","5295","Branik"
"26","3314","Braslovče"
"27","5223","Breginj"
"28","8280","Brestanica"
"29","2354","Bresternica"
"30","4243","Brezje"
"31","1351","Brezovica pri Ljublj"
"32","8250","Brežice"
"33","4210","Brnik - Aerodrom"
"34","8321","Brusnice"
"35","3255","Buče"
"36","8276","Bučka"
"37","9261","Cankova"
"38","3000","Celje"
"39","3001","Celje - poštni preda"
"40","4207","Cerklje na Gorenjske"
"41","8263","Cerklje ob Krki"
"42","1380","Cerknica"
"43","5282","Cerkno"
"44","2236","Cerkvenjak"
"45","2215","Ceršak"
"46","2326","Cirkovce"
"47","2282","Cirkulane"
"48","5273","Col"
"49","8251","Čatež ob Savi"
"50","1413","Čemšenik"
"51","5253","Čepovan"
"52","9232","Črenšovci"
"53","2393","Črna na Koroškem"
"54","6275","Črni Kal"
"55","5274","Črni Vrh nad Idrijo"
"56","5262","Črniče"
"57","8340","Črnomelj"
"58","6271","Dekani"
"59","5210","Deskle"
"60","2253","Destrnik"
"61","6215","Divača"
